unique_top_cov	unique_bot_cov	redundant_top_cov	redundant_bot_cov	raw_redundant_top_cov	raw_redundant_bot_cov	e_value	position
27	28	0	0	0	0	175.713	1
27	28	0	0	0	0	140.557	2
26	27	0	0	0	0	143.663	3
27	27	0	0	0	0	134.505	4
26	29	0	0	0	0	135.517	5
25	29	0	0	0	0	134.345	6
25	28	0	0	0	0	138.83	7
24	27	0	0	0	0	142.556	8
24	27	0	0	0	0	146.248	9
22	25	0	0	0	0	154.108	10
22	25	0	0	0	0	142.504	11
21	25	0	0	0	0	143.196	12
21	27	0	0	0	0	151.091	13
21	28	0	0	0	0	150.674	14
23	29	0	0	0	0	157.146	15
23	29	0	0	0	0	157.97	16
22	29	0	0	0	0	161.19	17
22	29	0	0	0	0	159.109	18
21	29	0	0	0	0	154.427	19
22	30	0	0	0	0	166.51	20
22	30	0	0	0	0	172.094	21
22	30	0	0	0	0	169.641	22
22	30	0	0	0	0	164.339	23
22	31	0	0	0	0	169.814	24
22	31	0	0	0	0	165.104	25
24	31	0	0	0	0	160.435	26
24	31	0	0	0	0	177.446	27
24	31	0	0	0	0	167.759	28
24	30	0	0	0	0	158.963	29
24	30	0	0	0	0	168.571	30
24	30	0	0	0	0	163.412	31
24	30	0	0	0	0	155.845	32
24	30	0	0	0	0	170.283	33
24	29	0	0	0	0	161.231	34
24	29	0	0	0	0	159.88	35
23	29	0	0	0	0	161.298	36
23	30	0	0	0	0	158.647	37
23	30	0	0	0	0	155.677	38
23	28	0	0	0	0	153.798	39
23	28	0	0	0	0	155.238	40
23	28	0	0	0	0	159.866	41
23	28	0	0	0	0	145.097	42
22	27	0	0	0	0	144.095	43
22	27	0	0	0	0	156.097	44
22	27	0	0	0	0	141.618	45
23	28	0	0	0	0	124.082	46
23	28	0	0	0	0	138.388	47
23	28	0	0	0	0	126.063	48
24	29	0	0	0	0	132.345	49
24	30	0	0	0	0	122.218	50
23	31	0	0	0	0	122.853	51
23	31	0	0	0	0	141.714	52
23	31	0	0	0	0	148.941	53
23	31	0	0	0	0	163.48	54
23	31	0	0	0	0	159.623	55
23	30	0	0	0	0	156.992	56
23	30	0	0	0	0	157.943	57
23	30	0	0	0	0	148.42	58
23	29	0	0	0	0	142.472	59
23	31	0	0	0	0	141.602	60
23	31	0	0	0	0	165.266	61
23	31	0	0	0	0	163.27	62
23	31	0	0	0	0	156.785	63
23	31	0	0	0	0	173.72	64
23	32	0	0	0	0	163.512	65
23	33	0	0	0	0	162.608	66
23	33	0	0	0	0	164.073	67
23	33	0	0	0	0	167.215	68
24	35	0	0	0	0	162.725	69
24	35	0	0	0	0	149.916	70
24	35	0	0	0	0	162.493	71
24	35	0	0	0	0	141.378	72
24	34	0	0	0	0	168.76	73
22	34	0	0	0	0	167.497	74
22	34	0	0	0	0	150.796	75
23	34	0	0	0	0	165.165	76
23	34	0	0	0	0	159.835	77
23	34	0	0	0	0	161.708	78
23	34	0	0	0	0	164.734	79
22	34	0	0	0	0	157.871	80
22	34	0	0	0	0	162.275	81
22	35	0	0	0	0	168.358	82
22	35	0	0	0	0	164.961	83
22	35	0	0	0	0	151.929	84
22	34	0	0	0	0	158.392	85
22	34	0	0	0	0	169.344	86
22	34	0	0	0	0	163.884	87
21	34	0	0	0	0	152.058	88
21	34	0	0	0	0	149.126	89
21	35	0	0	0	0	158.682	90
21	34	0	0	0	0	177.123	91
22	34	0	0	0	0	163.285	92
22	34	0	0	0	0	162.914	93
22	35	0	0	0	0	167.299	94
22	35	0	0	0	0	165.202	95
23	34	0	0	0	0	146.975	96
24	34	0	0	0	0	163.845	97
24	34	0	0	0	0	161.163	98
23	34	0	0	0	0	159.457	99
23	32	0	0	0	0	167.534	100
23	32	0	0	0	0	172.405	101
23	32	0	0	0	0	164.657	102
23	32	0	0	0	0	172.414	103
23	32	0	0	0	0	177.542	104
23	32	0	0	0	0	174.309	105
23	32	0	0	0	0	175.032	106
23	32	0	0	0	0	174.512	107
23	32	0	0	0	0	168.943	108
23	32	0	0	0	0	179.471	109
25	33	0	0	0	0	178.795	110
26	34	0	0	0	0	185.047	111
26	34	0	0	0	0	182.959	112
26	34	0	0	0	0	190.255	113
27	34	0	0	0	0	195.919	114
28	35	0	0	0	0	190.871	115
28	35	0	0	0	0	186.059	116
29	36	0	0	0	0	190.235	117
29	36	0	0	0	0	193.756	118
29	36	0	0	0	0	195.659	119
29	36	0	0	0	0	210.93	120
29	36	0	0	0	0	210.205	121
31	37	0	0	0	0	217.687	122
31	37	0	0	0	0	219.027	123
32	39	0	0	0	0	219.776	124
31	38	0	0	0	0	218.009	125
31	38	0	0	0	0	217.279	126
30	37	0	0	0	0	214.461	127
30	37	0	0	0	0	215.387	128
30	37	0	0	0	0	218.361	129
30	37	0	0	0	0	220.724	130
30	37	0	0	0	0	214.354	131
29	36	0	0	0	0	213.467	132
29	36	0	0	0	0	203.959	133
29	36	0	0	0	0	202.739	134
29	38	0	0	0	0	200.612	135
29	37	0	0	0	0	211.452	136
29	38	0	0	0	0	223.514	137
30	38	0	0	0	0	210.192	138
30	39	0	0	0	0	216.384	139
30	39	0	0	0	0	221.21	140
29	39	0	0	0	0	215.627	141
29	39	0	0	0	0	222.775	142
29	39	0	0	0	0	216.591	143
29	39	0	0	0	0	222.489	144
29	39	0	0	0	0	208.981	145
30	39	0	0	0	0	229.108	146
31	39	0	0	0	0	234.404	147
31	39	0	0	0	0	222.78	148
31	39	0	0	0	0	229.129	149
31	39	0	0	0	0	226.423	150
31	39	0	0	0	0	234.826	151
32	39	0	0	0	0	227.753	152
33	39	0	0	0	0	228.051	153
33	39	0	0	0	0	214.202	154
33	36	0	0	0	0	208.861	155
33	36	0	0	0	0	215.492	156
33	36	0	0	0	0	219.078	157
34	37	0	0	0	0	224.781	158
34	37	0	0	0	0	227.49	159
34	37	0	0	0	0	233.946	160
34	37	0	0	0	0	236.831	161
34	37	0	0	0	0	243.251	162
36	37	0	0	0	0	218.763	163
36	35	0	0	0	0	216.241	164
36	33	0	0	0	0	195.883	165
34	35	0	0	0	0	203.749	166
34	35	0	0	0	0	207.113	167
33	34	0	0	0	0	205.546	168
33	34	0	0	0	0	205.862	169
32	34	0	0	0	0	212.541	170
32	33	0	0	0	0	218.894	171
32	33	0	0	0	0	212.723	172
32	33	0	0	0	0	217.551	173
33	34	0	0	0	0	196.529	174
33	34	0	0	0	0	187.243	175
31	33	0	0	0	0	211.909	176
32	33	0	0	0	0	194.98	177
32	33	0	0	0	0	195.026	178
32	33	0	0	0	0	200.04	179
30	32	0	0	0	0	202.176	180
30	32	0	0	0	0	207.92	181
31	32	0	0	0	0	201.794	182
31	32	0	0	0	0	208.54	183
32	32	0	0	0	0	205.392	184
32	32	0	0	0	0	206.005	185
32	32	0	0	0	0	206.275	186
32	32	0	0	0	0	214.404	187
33	31	0	0	0	0	212.339	188
35	32	0	0	0	0	213.565	189
35	33	0	0	0	0	219.003	190
35	33	0	0	0	0	221.47	191
35	34	0	0	0	0	227.448	192
35	35	0	0	0	0	227.163	193
34	34	0	0	0	0	218.464	194
34	34	0	0	0	0	234.803	195
34	34	0	0	0	0	220.702	196
34	35	0	0	0	0	214.603	197
36	35	0	0	0	0	241.053	198
36	35	0	0	0	0	226.961	199
36	32	0	0	0	0	225.378	200
36	33	0	0	0	0	228.033	201
37	34	0	0	0	0	228.172	202
37	34	0	0	0	0	239.977	203
37	34	0	0	0	0	239.631	204
38	34	0	0	0	0	249.572	205
38	34	0	0	0	0	243.707	206
38	35	0	0	0	0	235.096	207
