ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
1	1	1	5090490
0.644262	1	0.927512	4721490
0.638889	1	0.925127	4709350
1	1	1	5090490
1	0.3	0.661192	3365790
0.4	1	0.766516	3901940
0.76	0.493333	0.742746	3780940
0.58833	1	0.90042	4583580
0.62963	1	0.920911	4687890
0.736264	1	0.961683	4895440
1	0.484848	0.835839	4254830
1	1	1	5090490
0.796634	1	0.977757	4977260
0.84127	1	0.986677	5022670
0.659091	0.443182	0.651572	3316820
0.560682	1	0.885093	4505560
1	0.155102	0.444161	2261000
1	0.41791	0.782532	3983470
0.833333	0.488095	0.772641	3933120
0.745455	1	0.96444	4909470
0.64	1	0.925624	4711880
1	1	1	5090490
0.855072	0.449275	0.751687	3826460
1	0.443038	0.803715	4091300
1	1	1	5090490
1	0.470588	0.825304	4201200
0.666667	1	0.936977	4769670
0.694915	1	0.94784	4824970
1	0.498361	0.845435	4303680
1	1	1	5090490
1	0.442623	0.803377	4089580
0.788462	0.442308	0.716115	3645380
0.714286	1	0.954623	4859500
1	0.5	0.846574	4309480
0.644444	1	0.927592	4721900
1	0.449275	0.808749	4116930
1	1	1	5090490
1	0.201664	0.524558	2670260
0.638554	1	0.924977	4708590
1	1	1	5090490
0.763158	1	0.969432	4934890
0.75	0.47619	0.724864	3689910
1	0.45679	0.814699	4147220
0.56962	1	0.890194	4531530
0.734375	1	0.961103	4892480
0.921875	1	0.996866	5074530
1	1	1	5090490
0.646154	0.446154	0.646854	3292810
1	1	1	5090490
0.791619	0.0877016	0.25462	1296140
1	0.0220222	0.106053	539860
0.589744	1	0.901168	4587390
1	1	1	5090490
1	0.486486	0.837022	4260860
0.0757576	1	0.271229	1380690
0.74026	0.493506	0.733194	3732320
0.585714	1	0.899026	4576490
0.512989	1	0.85541	4354450
0.716418	0.462687	0.697493	3550580
0.638298	1	0.924862	4708000
1	0.494253	0.842557	4289030
1	1	1	5090490
0.54902	0.470588	0.608028	3095160
0.490526	1	0.839917	4275590
0.621212	0.469697	0.651183	3314840
1	1	1	5090490
1	0.461538	0.818395	4166030
1	0.486111	0.836752	4259480
1	0.47191	0.826299	4206270
1	1	1	5090490
1	0.477612	0.830546	4227890
1	1	1	5090490
0.756098	1	0.967491	4925000
0.702703	1	0.950631	4839180
1	1	1	5090490
0.892308	1	0.993981	5059850
1	1	1	5090490
0.847458	0.40678	0.711864	3623740
1	0.477612	0.830546	4227890
1	0.477612	0.830546	4227890
1	1	1	5090490
1	1	1	5090490
1	0.485714	0.836465	4258020
1	1	1	5090490
0.559322	1	0.884305	4501550
1	1	1	5090490
1	1	1	5090490
0.666667	0.449275	0.66061	3362830
0.776119	0.462687	0.726874	3700140
0.151515	0.454545	0.253135	1288580
0.809524	1	0.980584	4991650
0.655172	1	0.932217	4745440
0.707719	1	0.952383	4848100
1	0.482353	0.834026	4245600
0.857658	1	0.989351	5036280
1	1	1	5090490
0.851064	1	0.988313	5031000
1	1	1	5090490
1	1	1	5090490
1	0.474576	0.828294	4216420
0.790865	0.492308	0.756614	3851540
1	0.440678	0.801788	4081490
1	1	1	5090490
1	0.252374	0.599854	3053550
0.871429	1	0.991356	5046490
0.637931	0.448276	0.643966	3278100
1	0.476923	0.830037	4225300
0.711268	0.499218	0.722731	3679060
0.844828	1	0.987285	5025760
0.457143	0.471429	0.546264	2780750
0.468566	1	0.823776	4193420
0.571429	1	0.891209	4536690
0.684685	1	0.944041	4805630
1	1	1	5090490
1	0.469388	0.824398	4196590
0.701493	0.462687	0.689795	3511400
0.653333	0.48	0.677262	3447600
0.452055	0.465753	0.538588	2741680
1	0.484848	0.835839	4254830
0.803808	1	0.979355	4985400
1	1	1	5090490
0.717949	1	0.955846	4865730
1	1	1	5090490
1	1	1	5090490
0.466667	0.48	0.559128	2846240
0.52439	1	0.862894	4392560
0.430233	1	0.793103	4037290
0.609756	0.47561	0.648991	3303680
1	1	1	5090490
0.670732	1	0.938613	4778000
0.727273	1	0.958875	4881150
1	1	1	5090490
0.622951	0.491803	0.668793	3404490
0.868852	0.491803	0.790624	4024660
0.770492	0.491803	0.746645	3800790
0.739726	0.465753	0.711652	3622660
1	0.164706	0.461768	2350630
0.556962	0.481013	0.62077	3160020
1	1	1	5090490
0.476707	1	0.829877	4224480
0.80597	0.477612	0.752431	3830240
0.826667	0.453333	0.742571	3780050
0.246753	1	0.592051	3013830
1	1	1	5090490
0.492308	0.446154	0.55257	2812850
1	0.467742	0.82315	4190240
0.653333	0.453333	0.656566	3342240
0.828947	1	0.984457	5011370
1	0.440678	0.801788	4081490
0.504706	1	0.849814	4325970
0.756522	1	0.967609	4925610
0.816327	1	0.981993	4998820
1	0.455696	0.813841	4142850
1	0.00217142	0.0154874	78838.3
1	0.00568337	0.0350676	178511
1	0.00161265	0.0119818	60993.3
0.857143	0.493506	0.786947	4005950
0.632911	0.493671	0.675926	3440800
1	0.474359	0.828132	4215600
0.84127	1	0.986677	5022670
0.819672	0.491803	0.769361	3916420
1	1	1	5090490
1	0.403226	0.769459	3916920
0.8	0.454545	0.731491	3723650
0.641509	0.490566	0.678539	3454100
0.784008	0.775684	0.9106	4635400
0.791733	0.569956	0.810327	4124960
