ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	0.232381	0.571512	2909280
1	1	1	5090490
1	1	1	5090490
1	1.45404e-08	2.76941e-07	1.40977
1	1.08232e-07	1.84416e-06	9.38769
1	1	1	5090490
1	1	1	5090490
1	0.466667	0.822332	4186070
1	0.486239	0.836844	4259950
1	1	1	5090490
1	1	1	5090490
1	0.494737	0.842898	4290760
0.135431	1	0.406197	2067740
0.0884521	1	0.302974	1542290
0.0740741	1	0.266866	1358480
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	0.491935	0.840918	4280690
1	1	1	5090490
0.0873786	0.495146	0.179135	911887
0.0882353	0.490196	0.179096	911686
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	0.235675	0.576296	2933630
0.0927835	0.42268	0.166229	846189
0.0352941	1	0.153319	780469
1	1	1	5090490
1	0.489796	0.839396	4272940
1	0.489362	0.839086	4271360
1	0.485714	0.836465	4258020
1	1	1	5090490
1	1	1	5090490
1	0.243243	0.587115	2988700
1	0.488636	0.838567	4268720
1	1	1	5090490
1	0.49743	0.844786	4300370
1	0.468085	0.823411	4191570
1	0.494382	0.842648	4289490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.0612245	1	0.232237	1182200
1	1	1	5090490
1	0.435897	0.797844	4061420
1	1	1	5090490
0.0952381	0.47619	0.185638	944987
0.047619	0.47619	0.108537	552504
1	0.444444	0.804858	4097120
1	0.413793	0.77892	3965080
1	0.415094	0.780066	3970920
1	1	1	5090490
1	0.415094	0.780066	3970920
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	0.491525	0.840627	4279210
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	0.494253	0.842557	4289030
1	1	1	5090490
1	1	1	5090490
0.0777778	1	0.276414	1407090
1	0.445545	0.805749	4101660
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.148618	1	0.431941	2198790
1	0.468468	0.823702	4193050
0.0888889	1	0.304033	1547680
0.107143	0.47619	0.202833	1032520
1	0.452991	0.811707	4131990
1	0.483871	0.835131	4251230
1	0.481132	0.833135	4241070
1	0.489796	0.839396	4272940
1	1	1	5090490
1	0.493976	0.842362	4288030
1	1	1	5090490
1	0.2	0.521888	2656660
1	0.4375	0.799172	4068180
1	0.494624	0.842818	4290360
0.206186	1	0.531748	2706860
1	1	1	5090490
1	0.493506	0.84203	4286350
1	0.474359	0.828132	4215600
1	0.470588	0.825304	4201200
1	0.470588	0.825304	4201200
1	0.455556	0.81373	4142290
1	0.433735	0.796043	4052250
1	1	1	5090490
1	0.485149	0.836057	4255940
1	0.490566	0.839945	4275730
1	1	1	5090490
0.107843	1	0.348018	1771580
1	0.49573	0.843596	4294320
1	0.463415	0.819842	4173400
0.145253	0.222468	0.143225	729084
0.108696	1	0.349913	1781230
1	0.20224	0.52548	2674950
1	1	1	5090490
0.105263	0.463158	0.196037	997923
1	1	1	5090490
1	0.445652	0.805836	4102100
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.115044	1	0.36382	1852020
1	0.475	0.828609	4218030
