ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.118528	1	0.371301	1890100
1	1	1	5090490
1	1	1	5090490
0.259774	0.6731	0.479764	2442240
0.235563	0.42247	0.329148	1675520
1	0.281022	0.637729	3246350
0.25	0.128771	0.142807	726958
0.175342	1	0.480616	2446570
0.159353	1	0.452026	2301040
0.0588235	1	0.225483	1147820
0.222498	0.710358	0.449633	2288850
0.36811	1	0.735989	3746550
1	1	1	5090490
1	0.686983	0.944908	4810050
0.267606	0.692287	0.497607	2533070
1	0.248077	0.5939	3023240
1	0.427148	0.79049	4023980
0.437175	0.769531	0.702914	3578180
1	1	1	5090490
1	1	1	5090490
0.382405	1	0.750001	3817870
1	1	1	5090490
0.432432	1	0.794953	4046700
1	1	1	5090490
1	1	1	5090490
0.135889	1	0.407111	2072400
0.415282	1	0.780231	3971760
1	1	1	5090490
0.548173	1	0.877715	4468000
0.246377	0.665154	0.460274	2343020
1	0.74996	0.96575	4916140
1	0.44	0.801231	4078660
1	0.471698	0.82614	4205460
1	0.483871	0.835131	4251230
1	1	1	5090490
1	0.435897	0.797844	4061420
1	1	1	5090490
1	0.485714	0.836465	4258020
1	0.463158	0.819645	4172390
1	1	1	5090490
1	0.473684	0.827628	4213030
0.0526316	0.473684	0.116966	595417
0.105263	0.473684	0.199372	1014900
1	1	1	5090490
1	0.206349	0.532007	2708170
1	1	1	5090490
1	1	1	5090490
1	0.464286	0.820511	4176810
1	1	1	5090490
1	0.4875	0.837752	4264570
0.284044	1	0.64155	3265800
0.132086	1	0.399469	2033490
0.163647	1	0.459855	2340890
1	0.422222	0.786272	4002510
1	0.474576	0.828294	4216420
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	0.42	0.78435	3992730
1	0.410714	0.776191	3951200
0.140351	1	0.415945	2117370
1	0.428571	0.791699	4030140
0.134328	0.477612	0.240359	1223540
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	0.423077	0.787008	4006260
1	0.484375	0.835496	4253090
1	1	1	5090490
1	0.492754	0.841498	4283640
1	0.492754	0.841498	4283640
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.245902	0.47541	0.367827	1872420
0.119403	0.462687	0.215237	1095660
0.0740741	1	0.266866	1358480
0.0185185	1	0.0923886	470303
1	1	1	5090490
1	1	1	5090490
1	0.432432	0.794953	4046700
1	1	1	5090490
1	0.463768	0.820114	4174780
0.0903502	1	0.307558	1565620
1	1	1	5090490
1	1	1	5090490
1	0.481481	0.83339	4242370
0.031746	1	0.141269	719131
1	0.238095	0.579782	2951380
1	0.444444	0.804858	4097120
1	0.434211	0.79644	4054270
1	0.45098	0.81011	4123860
0.0285714	1	0.130153	662542
1	0.4375	0.799172	4068180
1	1	1	5090490
1	1	1	5090490
0.0447761	1	0.183854	935909
1	1	1	5090490
0.0983607	0.491803	0.194889	992081
1	1	1	5090490
