ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.25615	1	0.605024	3079870
1	5.133e-11	1.26748e-09	0.00645209
1	4.89752e-06	6.47785e-05	329.754
1	2.21022e-09	4.62604e-08	0.235488
1	1	1	5090490
1	0.00202064	0.0145574	74104.3
0.195699	0.155613	0.136783	696293
0.0837337	1	0.291403	1483380
0.123571	1	0.381951	1944320
1	1.0206e-08	1.97999e-07	1.00791
0.112223	0.766705	0.297097	1512370
0.151163	1	0.436769	2223370
0.47877	1	0.831401	4232240
0.149425	1	0.433477	2206610
0.392261	1	0.75935	3865460
0.287391	1	0.645742	3287140
1	1	1	5090490
0.167457	1	0.466708	2375770
1	1	1	5090490
0.392261	1	0.75935	3865460
0.222608	1	0.557042	2835620
1	0.055561	0.216148	1100300
1	0.874453	0.991767	5048580
1	0.548112	0.877678	4467810
1	0.883035	0.992876	5054230
1	0.149438	0.4335	2206730
0.32514	0.240145	0.277188	1411020
0.0779087	0.276426	0.104192	530387
0.288659	0.267737	0.275153	1400660
0.21036	0.518398	0.3507	1785230
1	0.871226	0.991328	5046350
0.528913	0.864483	0.815049	4149000
0.0504084	0.445903	0.107784	548674
1	0.442668	0.803414	4089770
1	0.442668	0.803414	4089770
0.53815	0.53073	0.643519	3275830
0.471254	1	0.825805	4203760
0.206623	1	0.532438	2710370
0.508701	1	0.85253	4339790
0.374082	1	0.741909	3776680
1	1	1	5090490
0.0673966	0.351945	0.112466	572509
1	1	1	5090490
0.435807	1	0.797769	4061040
0.152996	0.702765	0.347299	1767920
0.426529	0.878396	0.742478	3779580
0.543601	0.645952	0.718633	3658190
1	0.538309	0.871696	4437360
0.269081	0.545008	0.428178	2179630
0.290703	0.543279	0.449412	2287730
0.0663422	0.755897	0.200229	1019270
0.0425924	0.641637	0.125707	639913
1	0.528683	0.865647	4406570
0.0700939	0.741803	0.205726	1047250
1	0.154499	0.443037	2255270
0.590753	0.151799	0.305934	1557350
1	0.0606249	0.230559	1173660
0.147774	0.452748	0.247847	1261660
0.32031	0.452748	0.425036	2163640
1	0.452748	0.811514	4131010
1	0.332035	0.698109	3553720
1	0.332035	0.698109	3553720
1	0.332035	0.698109	3553720
0.0881966	0.337919	0.134506	684704
0.0881966	0.337919	0.134506	684704
0.0881966	0.337919	0.134506	684704
0.163807	0.218503	0.154982	788932
1	0.231793	0.570654	2904910
1	0.228556	0.565899	2880700
0.144213	0.326229	0.190849	971516
1	0.307989	0.670704	3414220
0.497461	0.544622	0.624733	3180200
0.310464	0.538066	0.46598	2372070
0.313249	0.761752	0.580532	2955190
0.0381517	0.760334	0.131702	670426
0.93056	0.697389	0.929561	4731920
0.0480635	1	0.193947	987287
0.991773	0.462208	0.815962	4153650
1	1	1	5090490
1	1	1	5090490
0.938361	0.803163	0.966805	4921510
1	0.54388	0.875117	4454780
1	0.71025	0.953254	4852530
1	0.705533	0.951624	4844230
1	0.524182	0.862759	4391870
1	0.427059	0.790415	4023600
0.97328	0.713147	0.94754	4823440
0.903443	0.625613	0.887693	4518790
1	0.807914	0.980242	4989910
0.759416	0.623062	0.827238	4211050
0.999985	0.622979	0.917795	4672030
1	0.626736	0.919566	4681040
1	0.264091	0.615718	3134310
1	0.436854	0.798637	4065460
0.66209	0.435206	0.646682	3291930
1	0.304499	0.666575	3393200
0.608217	0.60214	0.734108	3736970
0.0139572	0.79957	0.0613277	312188
1	1	1	5090490
0.997033	0.780737	0.973406	4955110
1	0.676096	0.940734	4788800
0.827611	0.571847	0.827316	4211440
0.967713	0.39458	0.749458	3815110
1	0.572168	0.891622	4538790
0.490949	0.114455	0.217967	1109560
0.278379	0.208774	0.223481	1137630
1	0.108355	0.349157	1777380
0.519166	0.228194	0.371179	1889480
1	0.2338	0.573579	2919800
0.382278	0.306012	0.367993	1873270
0.252336	0.0466062	0.0640123	325854
0.0984961	0.0452853	0.0286025	145601
1	0.00022887	0.00214734	10931
1	0.0435064	0.179892	915740
1	1	1	5090490
0.18195	1	0.491996	2504500
0.467081	1	0.822648	4187680
0.201467	1	0.524243	2668650
0.335329	1	0.701724	3572120
0.243091	0.798723	0.512406	2608400
0.0747846	0.498253	0.159845	813688
0.18812	0.661238	0.383665	1953040
0.00389596	0.755287	0.0200933	102285
0.231528	0.85063	0.516947	2631510
0.56305	0.88558	0.845619	4304620
0.625816	0.885849	0.88141	4486810
0.0012289	0.885849	0.00851613	43351.3
1	1	1	5090490
0.0189375	0.773339	0.076501	389428
0.0270995	0.8684	0.111767	568950
0.837975	0.77664	0.930355	4735970
0.950936	0.776931	0.962459	4899390
1	1	1	5090490
1	0.777977	0.973295	4954550
1	0.781267	0.974114	4958720
0.854274	0.677431	0.895238	4557200
0.990468	0.889375	0.992608	5052860
0.979521	1	0.999789	5089420
0.997717	0.888874	0.993342	5056600
1	0.792326	0.976765	4972220
0.00896343	0.510188	0.0292106	148696
0.000262653	0.597511	0.00153166	7796.91
1	0.784474	0.974899	4962710
0.998902	0.517827	0.858242	4368870
0.897554	0.614954	0.879975	4479510
0.677319	0.801035	0.874309	4450660
0.24586	0.707512	0.478184	2434190
0.901175	0.899378	0.980789	4992700
0.99967	1	1	5090490
1	1	1	5090490
0.00072857	0.900273	0.0054634	27811.4
0.893907	1	0.994162	5060770
1	0.686772	0.944829	4809640
0.45613	0.838317	0.749979	3817760
0.0514017	0.679041	0.152012	773815
1	0.874432	0.991764	5048570
0.395431	0.596648	0.57667	2935530
0.418514	1	0.783059	3986150
0.489221	0.626193	0.668767	3404350
1	0.807434	0.980139	4989390
1	0.807434	0.980139	4989390
0.352104	0.80859	0.642384	3270050
0.0888454	0.807272	0.260708	1327130
0.260975	0.807988	0.539083	2744200
0.141577	1	0.418347	2129590
1	1	1	5090490
0.227852	1	0.564858	2875410
0.117965	0.577314	0.251077	1278110
0.223422	0.578564	0.393725	2004250
0.260095	0.580978	0.436669	2222860
0.0977736	0.0621904	0.0371077	188896
0.438326	0.124297	0.213021	1084380
0.142698	0.151903	0.10473	533127
0.531253	0.179963	0.320043	1629170
1	0.530051	0.866518	4411000
1	0.758628	0.968194	4928580
1	0.641976	0.926503	4716350
1	0.535291	0.869819	4427800
0.31594	1	0.679967	3461370
1	0.652834	0.931224	4740390
1	1	1	5090490
0.50223	0.287498	0.423819	2157440
0.912784	0.266603	0.587266	2989470
0.936202	0.26169	0.589584	3001270
0.704621	0.260319	0.494506	2517280
1	0.392768	0.759824	3867870
0.0843985	1	0.293049	1491760
1	0.871287	0.991336	5046390
0.999726	0.600988	0.906916	4616650
0.985654	0.690873	0.942621	4798400
0.959148	0.697348	0.937863	4774180
1	0.699084	0.949345	4832630
0.903707	0.610559	0.879864	4478940
0.490175	0.798793	0.758682	3862060
0.991954	0.796154	0.976161	4969140
0.796571	0.50998	0.772181	3930780
0.998996	0.490213	0.839342	4272660
0.000808994	0.537755	0.00380228	19355.5
0.935895	0.483231	0.811122	4129010
1	0.689698	0.945922	4815210
1	0.651988	0.930862	4738550
0.73627	0.880393	0.929234	4730260
0.902667	0.481451	0.796757	4055880
0.963291	0.591372	0.890218	4531650
0.646593	0.398812	0.60736	3091760
0.982826	0.568723	0.884092	4500460
1	0.565002	0.887576	4518200
1	0.432905	0.795349	4048720
1	0.472505	0.826745	4208540
0.986828	0.56429	0.882867	4494230
1	0.884844	0.993099	5055360
1	0.561171	0.885376	4507000
1	0.661968	0.935055	4759890
0.189164	0.25255	0.193066	982799
0.00888225	0.461315	0.0266231	135525
1	0.135221	0.405777	2065610
1	0.711561	0.953701	4854810
1	0.78039	0.973897	4957610
1	0.45977	0.817025	4159060
1	3.21557e-08	5.86927e-07	2.98775
1	1.15197e-06	1.6904e-05	86.0499
1	1	1	5090490
0.360009	0.659407	0.578772	2946240
0.258868	0.655632	0.47074	2396300
0.498436	1	0.845487	4303940
0.057123	1	0.22064	1123170
0.199507	0.573071	0.362278	1844170
0.288451	0.573071	0.462844	2356100
1	0.439024	0.800429	4074580
0.0788496	1	0.279145	1420980
0.391376	1	0.758521	3861240
0.544973	0.356265	0.512394	2608340
0.229828	0.258424	0.227094	1156020
0.37424	0.258424	0.322635	1642370
0.11214	0.155106	0.0878661	447282
0.41233	0.360797	0.432224	2200230
0.146538	0.27953	0.171839	874747
1	0.27953	0.635832	3236700
0.124009	0.278052	0.150591	766580
0.00210881	0.202984	0.00374816	19080
1	0.275831	0.631092	3212570
1	0.202984	0.526669	2681000
1	0.213902	0.54379	2768160
1	0.15643	0.44663	2273570
1	0.15643	0.44663	2273570
0.230705	0.151755	0.15237	775637
0.434644	0.150204	0.243448	1239270
0.663861	0.101502	0.24914	1268240
0.247135	0.0686163	0.086094	438261
1	0.267663	0.62045	3158390
1	0.252925	0.600611	3057410
1	0.338622	0.705306	3590350
1	0.548118	0.877682	4467830
1	0.829985	0.984651	5012360
1	0.468342	0.823606	4192560
1	0.471344	0.825874	4204100
0.108416	0.774034	0.291858	1485700
0.209159	0.772547	0.456111	2321830
0.528131	0.781175	0.777832	3959550
0.347517	0.794852	0.631599	3215150
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.177435	1	0.484246	2465050
1	0.615065	0.914003	4652730
1	1	1	5090490
0.267054	0.584664	0.446087	2270800
0.313433	0.477612	0.433997	2209260
1	1	1	5090490
1	1	1	5090490
1	0.485294	0.836162	4256470
1	1	1	5090490
0.0588235	0.470588	0.126975	646367
1	1	1	5090490
1	0.472727	0.826912	4209390
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.0625	0.479167	0.135014	687288
0.0416667	1	0.174086	886181
1	1	1	5090490
0.103448	0.482759	0.199608	1016110
1	0.109943	0.352674	1795280
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.09375	1	0.315668	1606900
1	1	1	5090490
1	0.450704	0.80989	4122740
1	1	1	5090490
1	0.42623	0.789708	4020000
1	0.462687	0.819282	4170550
1	1	1	5090490
0.0294118	1	0.133128	677688
1	1	1	5090490
0.203243	1	0.527081	2683100
1	1	1	5090490
0.0147059	1	0.0767575	390733
0.0882353	1	0.302448	1539610
1	1	1	5090490
1	1	1	5090490
1	0.480519	0.832686	4238780
1	0.492754	0.841498	4283640
1	0.483871	0.835131	4251230
1	1	1	5090490
1	1	1	5090490
1	0.492308	0.841182	4282030
1	0.466667	0.822332	4186070
1	0.436782	0.798577	4065150
0.097561	1	0.324612	1652440
1	1	1	5090490
1	0.488372	0.838377	4267750
1	1	1	5090490
1	1	1	5090490
1	0.4875	0.837752	4264570
1	0.421053	0.785262	3997370
0.104478	0.477612	0.199486	1015480
1	0.481013	0.833047	4240620
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	0.452055	0.810965	4128210
1	1	1	5090490
0.0892857	0.482143	0.178454	908420
1	0.231235	0.569838	2900750
1	1	1	5090490
1	1	1	5090490
1	0.392157	0.759252	3864970
1	0.435484	0.797501	4059670
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.0416667	1	0.174086	886181
0.166667	1	0.465293	2368570
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	0.47541	0.828914	4219580
0.131148	1	0.397565	2023800
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.1125	0.4625	0.205831	1047780
0.0933333	0.48	0.183929	936286
0.0666667	0.48	0.142145	723586
1	0.499853	0.846472	4308960
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	0.457831	0.815514	4151370
0.0689655	1	0.25339	1289880
1	1	1	5090490
1	0.466667	0.822332	4186070
1	1	1	5090490
1	0.484848	0.835839	4254830
1	0.512645	0.85518	4353290
1	1	1	5090490
1	0.485714	0.836465	4258020
1	1	1	5090490
0.0810811	1	0.284782	1449680
1	1	1	5090490
1	0.495032	0.843105	4291820
1	1	1	5090490
0.0843373	1	0.292898	1490990
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.167519	1	0.466819	2376340
1	0.452381	0.811223	4129530
1	0.434783	0.796917	4056700
1	0.455882	0.813987	4143590
1	1	1	5090490
1	1	1	5090490
0.0333333	1	0.146707	746809
0.0333333	1	0.146707	746809
0.0333333	1	0.146707	746809
0.0666667	1	0.247203	1258390
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.0666667	1	0.247203	1258390
1	1	1	5090490
1	0.480519	0.832686	4238780
1	1	1	5090490
1	1	1	5090490
1	0.488095	0.838179	4266740
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.489586	0.613439	0.66159	3367820
0.232635	0.613439	0.420552	2140820
0.271193	0.613439	0.464744	2365780
1	1	1	5090490
1	1	1	5090490
1	0.481481	0.83339	4242370
1	1	1	5090490
1	1	1	5090490
1	0.492537	0.841345	4282860
1	0.485294	0.836162	4256470
1	1	1	5090490
0.0212766	0.382979	0.0473421	240994
1	1	1	5090490
1	0.495914	0.843725	4294970
0.132353	1	0.400008	2036240
1	1	1	5090490
1	0.454545	0.812935	4138240
1	0.176941	0.483391	2460700
0.0535714	1	0.210361	1070840
1	0.478261	0.831026	4230330
1	1	1	5090490
1	0.179724	0.488189	2485120
1	1	1	5090490
1	0.38961	0.75686	3852790
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.0493827	1	0.197934	1007580
1	1	1	5090490
1	0.200542	0.522759	2661100
1	0.468354	0.823615	4192610
1	0.4	0.766516	3901940
1	1	1	5090490
1	1	1	5090490
1	0.484848	0.835839	4254830
1	0.477273	0.830296	4226610
1	0.416667	0.781445	3977940
1	1	1	5090490
1	1	1	5090490
1	0.489362	0.839086	4271360
1	1	1	5090490
0.0144928	0.449275	0.0392903	200007
1	1	1	5090490
0.0454545	1	0.185956	946610
1	1	1	5090490
0.12766	0.468085	0.228116	1161220
0.0408163	1	0.171374	872380
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	4.98883e-06	6.5894e-05	335.433
0.118712	0.653956	0.276042	1405190
0.238823	0.653956	0.446165	2271200
1	0.0308564	0.138188	703443
1	0.423077	0.787008	4006260
0.379189	1	0.746896	3802070
1	0.495362	0.843337	4293000
0.442406	0.449679	0.52018	2647970
0.385655	0.503458	0.512404	2608390
0.323317	0.494081	0.452745	2304690
0.242382	1	0.585895	2982490
0.318832	1	0.683286	3478260
0.188802	1	0.503545	2563290
1	5.36872e-14	1.69413e-12	8.62397e-06
1	6.1337e-11	1.50365e-09	0.00765434
1	1	1	5090490
0.190476	0.485714	0.312741	1592010
0.157045	0.494118	0.275957	1404760
1	1	1	5090490
0.0935773	0.35004	0.144737	736784
1	1	1	5090490
1	1	1	5090490
1	0.521932	0.861301	4384450
1	1	1	5090490
0.387113	1	0.754498	3840770
1	1	1	5090490
1	8.41055e-07	1.26062e-05	64.1719
0.290609	0.459757	0.402544	2049150
1	0.471146	0.825724	4203340
1	0.474652	0.82835	4216710
0.15622	0.469156	0.264826	1348090
0.465116	0.366219	0.471825	2401820
0.150941	1	0.43635	2221240
1	1	1	5090490
0.025974	1	0.120796	614913
0.0617284	1	0.233643	1189360
1	0.452381	0.811223	4129530
1	0.490566	0.839945	4275730
