ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.843373	1	0.987038	5024510
0.693369	1	0.947276	4822100
1	0.481928	0.833716	4244020
0.0169753	1	0.0861666	438630
1	0.444444	0.804858	4097120
0.819277	0.46988	0.75245	3830340
0.639535	0.488372	0.675788	3440090
1	0.488095	0.838179	4266740
0.478723	0.489362	0.57426	2923270
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.714286	1	0.954623	4859500
1	1	1	5090490
0.903643	0.200542	0.490749	2498150
1	1	1	5090490
0.822785	1	0.983278	5005370
1	0.47619	0.829494	4222530
0.921053	0.447368	0.777378	3957230
0.147368	1	0.429552	2186630
0.522388	0.477612	0.595878	3033310
1	0.489796	0.839396	4272940
1	0.208772	0.535816	2727570
1	0.447059	0.80697	4107870
1	1	1	5090490
1	1	1	5090490
0.618771	1	0.915794	4661840
0.784091	0.488636	0.750703	3821450
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	0.200913	0.523355	2664140
0.926316	1	0.997216	5076320
1	0.493827	0.842257	4287500
0.649061	1	0.929604	4732140
1	1	1	5090490
1	0.430233	0.793103	4037290
0.744147	0.495461	0.736574	3749530
1	0.481481	0.83339	4242370
1	0.497426	0.844783	4300360
0.744681	1	0.964212	4908310
1	1	1	5090490
0.585179	0.243168	0.419753	2136750
0.546926	0.2332	0.390193	1986270
0.668249	0.119061	0.280952	1430180
1	0.119061	0.372437	1895890
1	1	1	5090490
0.8173	1	0.98219	4999830
0.709466	1	0.952985	4851160
1	0.488372	0.838377	4267750
0.166667	0.462963	0.274835	1399050
0.660377	0.490566	0.689105	3507880
1	0.49505	0.843118	4291880
1	0.484536	0.835613	4253680
1	1	1	5090490
0.830769	1	0.984797	5013100
0.815789	0.434211	0.721847	3674560
1	1	1	5090490
1	0.477273	0.830296	4226610
1	0.474359	0.828132	4215600
0.604021	1	0.908536	4624890
0.909091	1	0.995737	5068790
1	0.229379	0.567111	2886870
1	0.483333	0.83474	4249240
1	1	1	5090490
1	1	1	5090490
1	0.45	0.809328	4119880
0.65	0.45	0.652068	3319340
1	1	1	5090490
0.583333	0.45	0.613595	3123500
1	1	1	5090490
0.5	0.472222	0.576926	2936840
0.621622	1	0.917155	4668770
0.692762	0.0622597	0.178714	909744
1	1	1	5090490
0.846154	1	0.987507	5026900
0.585366	0.487805	0.643434	3275390
0.789474	1	0.976096	4968810
0.714734	0.495298	0.72162	3673400
