ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.166667	1	0.465293	2368570
1	1	1	5090490
1	0.478261	0.831026	4230330
1	0.499379	0.846143	4307280
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.101846	1	0.334491	1702720
0.114943	1	0.3636	1850900
1	1	1	5090490
1	1	1	5090490
1	0.482759	0.834322	4247110
0.212698	1	0.54193	2758690
1	1	1	5090490
0.109524	1	0.351748	1790570
0.212698	1	0.54193	2758690
1	1	1	5090490
0.0555556	1	0.216132	1100220
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	0.430556	0.793376	4038670
1	1	1	5090490
1	0.45	0.809328	4119880
0.125	0.40625	0.202121	1028890
1	1	1	5090490
1	0.490196	0.839681	4274390
1	0.46875	0.823915	4194130
0.0952381	0.488095	0.189131	962769
1	1	1	5090490
0.292632	1	0.652229	3320170
1	0.434211	0.79644	4054270
1	0.466667	0.822332	4186070
1	1	1	5090490
1	1	1	5090490
0.109589	0.410959	0.184663	940023
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.0625	1	0.235787	1200270
0.203704	0.481481	0.325818	1658570
1	1	1	5090490
0.299416	1	0.660488	3362210
1	0.485714	0.836465	4258020
1	0.492754	0.841498	4283640
1	1	1	5090490
1	1	1	5090490
0.0701754	1	0.256615	1306290
1	1	1	5090490
1	1	1	5090490
1	0.447368	0.807219	4109140
0.0881954	1	0.302351	1539120
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	0.416667	0.781445	3977940
1	1	1	5090490
1	1	1	5090490
1	0.444444	0.804858	4097120
1	1	1	5090490
0.0298507	0.462687	0.072956	371382
1	0.487179	0.837521	4263390
1	0.469697	0.824632	4197780
1	1	1	5090490
1	0.502304	0.848165	4317580
1	0.441176	0.802196	4083570
1	1	1	5090490
1	0.494118	0.842462	4288540
1	1	1	5090490
1	0.475	0.828609	4218030
1	0.458333	0.815906	4153360
1	1	1	5090490
1	0.430769	0.793556	4039590
1	0.270353	0.623982	3176380
1	1	1	5090490
1	1	1	5090490
1	0.487179	0.837521	4263390
1	0.230655	0.568987	2896420
0.0441176	1	0.181804	925473
1	1	1	5090490
1	0.489796	0.839396	4272940
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	0.45	0.809328	4119880
1	0.477273	0.830296	4226610
0.0645161	0.483871	0.139442	709826
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	0.453333	0.811978	4133370
1	1.40224e-07	2.35295e-06	11.9777
1	0.461538	0.818395	4166030
0.111111	0.428571	0.192596	980410
0.05	1	0.199787	1017010
0.0338983	0.474576	0.0825236	420085
1	1	1	5090490
0.0461538	1	0.188113	957586
1	1	1	5090490
1	0.4	0.766516	3901940
1	0.483333	0.83474	4249240
1	0.491833	0.840846	4280320
1	1	1	5090490
1	1	1	5090490
1	0.454545	0.812935	4138240
0.152174	1	0.438676	2233080
0.0877193	0.403509	0.153658	782194
1	0.457627	0.815355	4150550
0.0675676	1	0.249637	1270770
1	1	1	5090490
1	0.421053	0.785262	3997370
1	1	1	5090490
1	0.409836	0.775409	3947210
1	1	1	5090490
0.0632911	1	0.237975	1211410
0.111111	0.412698	0.187194	952908
1	1	1	5090490
1	1	1	5090490
